,สมัครเป็นจิตอาสาแล้ว,จะสมัครเป็นจิตอาส,ยังไม่พร้อมเป็นจิตอาสา,ยังไม่ได้เลือกสถานะจิตอาสา,จำนวนจิตอาสารวม
บ้านแลง,179,0,1,7,187
บ้านเสด็จ,275,10,0,12,299
นาแก,72,3,0,30,105
บ้านโป่ง,170,1,0,10,181
บ้านร้อง,183,14,2,1,200
บ้านหวด,86,23,0,2,111
บ้านแหง,143,6,1,5,155
บ้านอ้อน,96,2,0,5,103
ปงเตา,140,12,1,22,175
แม่ตีบ,91,1,0,5,98
หลวงใต้,102,4,0,4,110
หลวงเหนือ,73,4,0,6,84
แจ้ห่ม,277,0,0,2,279
ทุ่งผึ้ง,63,6,0,56,125
บ้านสา,119,9,0,6,134
ปงดอน,71,54,0,37,162
เมืองมาย,46,39,0,1,87
แม่สุก,114,12,2,65,193
วิเชตนคร,228,2,3,4,237
ทุ่งฮั้ว,34,5,0,140,179
ร่องเคาะ,303,20,1,10,335
วังแก้ว,31,66,0,3,100
วังซ้าย,95,7,0,38,146
วังใต้,23,19,0,98,140
วังทรายคำ,108,18,2,8,136
วังทอง,151,10,0,7,170
วังเหนือ,162,22,0,3,187
แจ้ซ้อน,160,9,3,22,196
ทุ่งกว๋าว,214,9,3,34,261
บ้านขอ,184,5,0,26,216
เมืองปาน,116,10,1,7,134
หัวเมือง,20,36,0,43,99
บ้านใหม่,-1,-1,-1,-1,-1
