Column1,province,district,sub-district,unit_number,village,place,latitude,longitude
1,ลำปาง,งาว,นาแก,1,1,,,
2,ลำปาง,งาว,นาแก,2,2,,,
3,ลำปาง,งาว,นาแก,3,3,,,
4,ลำปาง,งาว,นาแก,4,4,,,
5,ลำปาง,งาว,นาแก,5,5,,,
6,ลำปาง,งาว,นาแก,6,6,,,
7,ลำปาง,งาว,บ้านร้อง,1,1,,,
8,ลำปาง,งาว,บ้านร้อง,2,2,,,
9,ลำปาง,งาว,บ้านร้อง,3,3,,,
10,ลำปาง,งาว,บ้านร้อง,4,4,,,
11,ลำปาง,งาว,บ้านร้อง,5,5,,,
12,ลำปาง,งาว,บ้านร้อง,6,6,,,
13,ลำปาง,งาว,บ้านร้อง,7,7,,,
14,ลำปาง,งาว,บ้านร้อง,8,8,,,
15,ลำปาง,งาว,บ้านร้อง,9,9,,,
16,ลำปาง,งาว,บ้านร้อง,10,10,,,
17,ลำปาง,งาว,บ้านร้อง,11,11,,,
18,ลำปาง,งาว,บ้านร้อง,12,12,,,
19,ลำปาง,งาว,บ้านร้อง,13,13,,,
20,ลำปาง,งาว,บ้านหวด,1,1,,,
21,ลำปาง,งาว,บ้านหวด,2,2,,,
22,ลำปาง,งาว,บ้านหวด,3,3,,,
23,ลำปาง,งาว,บ้านหวด,4,3,,,
24,ลำปาง,งาว,บ้านหวด,5,4,,,
25,ลำปาง,งาว,บ้านหวด,6,5,,,
26,ลำปาง,งาว,บ้านหวด,7,6,,,
27,ลำปาง,งาว,บ้านอ้อน,1,1,,,
28,ลำปาง,งาว,บ้านอ้อน,2,2,,,
29,ลำปาง,งาว,บ้านอ้อน,3,3,,,
30,ลำปาง,งาว,บ้านอ้อน,4,4,,,
31,ลำปาง,งาว,บ้านอ้อน,5,5,,,
32,ลำปาง,งาว,บ้านอ้อน,6,6,,,
33,ลำปาง,งาว,บ้านอ้อน,7,7,,,
34,ลำปาง,งาว,บ้านอ้อน,8,8,,,
35,ลำปาง,งาว,บ้านแหง,1,1,,,
36,ลำปาง,งาว,บ้านแหง,2,2,,,
37,ลำปาง,งาว,บ้านแหง,3,3,,,
38,ลำปาง,งาว,บ้านแหง,4,4,,,
39,ลำปาง,งาว,บ้านแหง,5,4,,,
40,ลำปาง,งาว,บ้านแหง,6,5,,,
41,ลำปาง,งาว,บ้านแหง,7,6,,,
42,ลำปาง,งาว,บ้านแหง,8,7,,,
43,ลำปาง,งาว,บ้านแหง,9,8,,,
44,ลำปาง,งาว,บ้านโป่ง,1,1,,,
45,ลำปาง,งาว,บ้านโป่ง,2,2,,,
46,ลำปาง,งาว,บ้านโป่ง,3,3,,,
47,ลำปาง,งาว,บ้านโป่ง,4,4,,,
48,ลำปาง,งาว,บ้านโป่ง,5,5,,,
49,ลำปาง,งาว,บ้านโป่ง,6,6,,,
50,ลำปาง,งาว,บ้านโป่ง,7,7,,,
51,ลำปาง,งาว,บ้านโป่ง,8,8,,,
52,ลำปาง,งาว,บ้านโป่ง,9,9,,,
53,ลำปาง,งาว,บ้านโป่ง,10,10,,,
54,ลำปาง,งาว,บ้านโป่ง,11,11,,,
55,ลำปาง,งาว,บ้านโป่ง,12,12,,,
56,ลำปาง,งาว,ปงเตา,1,1,,,
57,ลำปาง,งาว,ปงเตา,2,2,,,
58,ลำปาง,งาว,ปงเตา,3,3,,,
59,ลำปาง,งาว,ปงเตา,4,4,,,
60,ลำปาง,งาว,ปงเตา,5,5,,,
61,ลำปาง,งาว,ปงเตา,6,6,,,
62,ลำปาง,งาว,ปงเตา,7,7,,,
63,ลำปาง,งาว,ปงเตา,8,8,,,
64,ลำปาง,งาว,ปงเตา,9,9,,,
65,ลำปาง,งาว,ปงเตา,10,10,,,
66,ลำปาง,งาว,ปงเตา,11,11,,,
67,ลำปาง,งาว,ปงเตา,12,12,,,
68,ลำปาง,งาว,ปงเตา,13,13,,,
69,ลำปาง,งาว,หลวงเหนือ,1,1,,,
70,ลำปาง,งาว,หลวงเหนือ,2,2,,,
71,ลำปาง,งาว,หลวงเหนือ,3,3,,,
72,ลำปาง,งาว,หลวงเหนือ,4,4,,,
73,ลำปาง,งาว,หลวงเหนือ,5,4,,,
74,ลำปาง,งาว,หลวงเหนือ,6,5,,,
75,ลำปาง,งาว,หลวงเหนือ,7,6,,,
76,ลำปาง,งาว,หลวงใต้,1,1,,,
77,ลำปาง,งาว,หลวงใต้,2,2,,,
78,ลำปาง,งาว,หลวงใต้,3,3,,,
79,ลำปาง,งาว,หลวงใต้,4,4,,,
80,ลำปาง,งาว,หลวงใต้,5,5,,,
81,ลำปาง,งาว,หลวงใต้,6,6,,,
82,ลำปาง,งาว,หลวงใต้,7,7,,,
83,ลำปาง,งาว,หลวงใต้,8,8,,,
84,ลำปาง,งาว,แม่ตีบ,1,1,,,
85,ลำปาง,งาว,แม่ตีบ,2,1,,,
86,ลำปาง,งาว,แม่ตีบ,3,2,,,
87,ลำปาง,งาว,แม่ตีบ,4,2,,,
88,ลำปาง,งาว,แม่ตีบ,5,3,,,
89,ลำปาง,งาว,แม่ตีบ,6,4,,,
90,ลำปาง,งาว,แม่ตีบ,7,5,,,
91,ลำปาง,วังเหนือ,ทุ่งฮั้ว,1,1,,,
92,ลำปาง,วังเหนือ,ทุ่งฮั้ว,2,2,,,
93,ลำปาง,วังเหนือ,ทุ่งฮั้ว,3,3,,,
94,ลำปาง,วังเหนือ,ทุ่งฮั้ว,4,4,,,
95,ลำปาง,วังเหนือ,ทุ่งฮั้ว,5,5,,,
96,ลำปาง,วังเหนือ,ทุ่งฮั้ว,6,6,,,
97,ลำปาง,วังเหนือ,ทุ่งฮั้ว,7,7,,,
98,ลำปาง,วังเหนือ,ทุ่งฮั้ว,8,8,,,
99,ลำปาง,วังเหนือ,ทุ่งฮั้ว,9,9,,,
100,ลำปาง,วังเหนือ,ทุ่งฮั้ว,10,10,,,
101,ลำปาง,วังเหนือ,ทุ่งฮั้ว,11,11,,,
102,ลำปาง,วังเหนือ,ทุ่งฮั้ว,12,12,,,
103,ลำปาง,วังเหนือ,บ้านใหม่,1,1,,,
104,ลำปาง,วังเหนือ,บ้านใหม่,2,2,,,
105,ลำปาง,วังเหนือ,บ้านใหม่,3,6,,,
106,ลำปาง,วังเหนือ,บ้านใหม่,4,6,,,
107,ลำปาง,วังเหนือ,ร่องเคาะ,1,1,,,
108,ลำปาง,วังเหนือ,ร่องเคาะ,2,2,,,
109,ลำปาง,วังเหนือ,ร่องเคาะ,3,3,,,
110,ลำปาง,วังเหนือ,ร่องเคาะ,4,4,,,
111,ลำปาง,วังเหนือ,ร่องเคาะ,5,5,,,
112,ลำปาง,วังเหนือ,ร่องเคาะ,6,6,,,
