province,district,sub-district,unit_number,village,place,latitude,longitude,full_address
ลำปาง,งาว,นาแก,1,1,ศาลาเอนกประสงค์  บ้านทุ่งศาลา,18.78490901,99.97075416,"ศาลาเอนกประสงค์  บ้านทุ่งศาลา, หมู่ที่ 1, นาแก, งาว, ลำปาง"
ลำปาง,งาว,นาแก,2,2,ศาลาประชาคม วัดหนองเหียง,18.77575856,99.9687307,"ศาลาประชาคม วัดหนองเหียง, หมู่ที่ 2, นาแก, งาว, ลำปาง"
ลำปาง,งาว,นาแก,3,3,ศาลาวัดนาแก,18.7718736,99.95805296,"ศาลาวัดนาแก, หมู่ที่ 3, นาแก, งาว, ลำปาง"
ลำปาง,งาว,นาแก,4,4,ศาลากลางหมู่บ้าน บ้านแม่ฮ่าง,18.84305532,99.86316604,"ศาลากลางหมู่บ้าน บ้านแม่ฮ่าง, หมู่ที่ 4, นาแก, งาว, ลำปาง"
ลำปาง,งาว,นาแก,5,5,โรงเรียนแม่แป้นวิทยา,18.80573498,99.9180159,"โรงเรียนแม่แป้นวิทยา, หมู่ที่ 5, นาแก, งาว, ลำปาง"
ลำปาง,งาว,นาแก,6,6,ศาลากลางหมู่บ้าน บ้านสันติสุข,18.85777202,99.83776095,"ศาลากลางหมู่บ้าน บ้านสันติสุข, หมู่ที่ 6, นาแก, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,1,1,ศาลากลางหมู่บ้าน บ้านนาแรม,18.88587200323684,99.94414354294632,"ศาลากลางหมู่บ้าน บ้านนาแรม, หมู่ที่ 1, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,2,2,ศาลากลางหมู่บ้าน บ้านร้อง,18.883012845726896,99.94228678434922,"ศาลากลางหมู่บ้าน บ้านร้อง, หมู่ที่ 2, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,3,3,ศาลาวัดสบป๋อน,18.8791212,99.9433027,"ศาลาวัดสบป๋อน, หมู่ที่ 3, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,4,4,ศาลาประชาคมบ้านข่อย,18.94755483,99.87951731,"ศาลาประชาคมบ้านข่อย, หมู่ที่ 4, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,5,5,ศาลาวัดบ้านผาแดง,19.00439384,99.79591472,"ศาลาวัดบ้านผาแดง, หมู่ที่ 5, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,6,6,ศาลากลางหมู่บ้าน บ้านปากบอก,18.88036343510376,99.94443223476921,"ศาลากลางหมู่บ้าน บ้านปากบอก, หมู่ที่ 6, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,7,7,ศาลาประชาคมหมู่บ้าน,18.881585166798455,99.94761495464705,"ศาลาประชาคมหมู่บ้าน, หมู่ที่ 7, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,8,8,โรงเรียนบ้านใหม่พัฒนา,19.03591755,99.7854134,"โรงเรียนบ้านใหม่พัฒนา, หมู่ที่ 8, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,9,9,ศาลากลางหมู่บ้าน บ้านท่าเจริญ,18.91680169,99.93975517,"ศาลากลางหมู่บ้าน บ้านท่าเจริญ, หมู่ที่ 9, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,10,10,ศาลากลางหมู่บ้าน บ้านร้องพัฒนา,18.88498964913404,99.94743653328823,"ศาลากลางหมู่บ้าน บ้านร้องพัฒนา, หมู่ที่ 10, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,11,11,โรงเรียนบ้านข่อยมิตรภาพที่ 110 สาขาแม่งาว,18.88851061,99.93246889,"โรงเรียนบ้านข่อยมิตรภาพที่ 110 สาขาแม่งาว, หมู่ที่ 11, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,12,12,ศาลากลางหมู่บ้าน บ้านชนแดน,18.96319997,99.91976108,"ศาลากลางหมู่บ้าน บ้านชนแดน, หมู่ที่ 12, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านร้อง,13,13,โรงเรียนบ้านแม่งาวใต้ สาขาแม่คำหล้า,18.96978355,99.80966763,"โรงเรียนบ้านแม่งาวใต้ สาขาแม่คำหล้า, หมู่ที่ 13, บ้านร้อง, งาว, ลำปาง"
ลำปาง,งาว,บ้านหวด,1,1,ศาลากลางหมู่บ้านบ้านร่องต้า,18.68223699555211,99.93129312221481,"ศาลากลางหมู่บ้านบ้านร่องต้า, หมู่ที่ 1, บ้านหวด, งาว, ลำปาง"
ลำปาง,งาว,บ้านหวด,2,2,ศูนย์พัฒนาตำบลบ้านหวด,18.678574032214815,99.93097265444788,"ศูนย์พัฒนาตำบลบ้านหวด, หมู่ที่ 2, บ้านหวด, งาว, ลำปาง"
ลำปาง,งาว,บ้านหวด,3,3,โรงเรียนไทยรัฐวิทยา 85,18.6084847,99.9043567,"โรงเรียนไทยรัฐวิทยา 85, หมู่ที่ 3, บ้านหวด, งาว, ลำปาง"
ลำปาง,งาว,บ้านหวด,4,3,ศาลาวัดห้วยทาก,18.678253564447893,99.93463561778518,"ศาลาวัดห้วยทาก, หมู่ที่ 3, บ้านหวด, งาว, ลำปาง"
ลำปาง,งาว,บ้านหวด,5,4,ศาลาวัดปางหละ,18.54743672,99.8463753,"ศาลาวัดปางหละ, หมู่ที่ 4, บ้านหวด, งาว, ลำปาง"
ลำปาง,งาว,บ้านหวด,6,5,สำนักสงฆ์แม่พร้าว,18.57761847,99.89551589,"สำนักสงฆ์แม่พร้าว, หมู่ที่ 5, บ้านหวด, งาว, ลำปาง"
ลำปาง,งาว,บ้านหวด,7,6,ศาลากลางหมู่บ้าน บ้านใหม่ธานี,18.681916527785187,99.9349560855521,"ศาลากลางหมู่บ้าน บ้านใหม่ธานี, หมู่ที่ 6, บ้านหวด, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,1,1,ศาลากลางหมู่บ้าน บ้านแม่กวัก,18.771968425050005,99.914580349913,"ศาลากลางหมู่บ้าน บ้านแม่กวัก, หมู่ที่ 1, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,2,2,ศาลากลางหมู่บ้าน บ้านอ้อนใต้,18.768385709912994,99.91375321494999,"ศาลากลางหมู่บ้าน บ้านอ้อนใต้, หมู่ที่ 2, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,3,3,ศาลากลางหมู่บ้าน บ้านอ้อนเหนือ,18.767558574949994,99.917335930087,"ศาลากลางหมู่บ้าน บ้านอ้อนเหนือ, หมู่ที่ 3, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,4,4,โรงเรียนปงมะโอ,18.75601564,99.92988872,"โรงเรียนปงมะโอ, หมู่ที่ 4, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,5,5,ศาลาประชาคมบ้านห้วยหก,18.71929744,99.81780626,"ศาลาประชาคมบ้านห้วยหก, หมู่ที่ 5, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,6,6,โรงเรียนบ้านอ้อน สาขาหัวทุ่ง,18.75815084,99.91398994,"โรงเรียนบ้านอ้อน สาขาหัวทุ่ง, หมู่ที่ 6, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,7,7,ศาลาวัดบ้านแม่กวัก,18.771141290087005,99.91816306505001,"ศาลาวัดบ้านแม่กวัก, หมู่ที่ 7, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านอ้อน,8,8,โรงเรียนบ้านแม่กวัก สาขาขุนอ้อนพัฒนา,18.77390573,99.91828125,"โรงเรียนบ้านแม่กวัก สาขาขุนอ้อนพัฒนา, หมู่ที่ 8, บ้านอ้อน, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,1,1,ศาลากลางหมู่บ้าน บ้านแหงเหนือ,18.764970961922916,100.0102195407821,"ศาลากลางหมู่บ้าน บ้านแหงเหนือ, หมู่ที่ 1, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,2,2,ศาลาอเนกประสงค์วัดบุญยืน,18.76574131,100.0089421,"ศาลาอเนกประสงค์วัดบุญยืน, หมู่ที่ 2, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,3,3,ศาลาวัดร่องเห็ด,18.76224645,100.0047792,"ศาลาวัดร่องเห็ด, หมู่ที่ 3, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,4,4,ศาลากลางหมู่บ้าน บ้านบ่อห้อ,18.74944377,100.0311454,"ศาลากลางหมู่บ้าน บ้านบ่อห้อ, หมู่ที่ 4, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,5,4,ศาลาวัดศรีบุญเรือง,18.77665981,100.0224615,"ศาลาวัดศรีบุญเรือง, หมู่ที่ 4, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,6,5,ศาลาประชาคม บ้านแม่งอน,18.74655873,100.016611,"ศาลาประชาคม บ้านแม่งอน, หมู่ที่ 5, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,7,6,ศาลาประชาคม บ้านทุ่งโป่ง,18.74381432,100.0321601,"ศาลาประชาคม บ้านทุ่งโป่ง, หมู่ที่ 6, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,8,7,ศาลาหน้าวัดแหงเหนือ,18.7721024,100.0086769,"ศาลาหน้าวัดแหงเหนือ, หมู่ที่ 7, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านแหง,9,8,ศาลาสำนักสงฆ์ใหม่สามัคคี,18.761862378077087,100.00770225921791,"ศาลาสำนักสงฆ์ใหม่สามัคคี, หมู่ที่ 8, บ้านแหง, งาว, ลำปาง"
ลำปาง,งาว,บ้านโป่ง,1,1,ศาลากลางหมู่บ้าน บ้านสบเอิม,18.710446964799203,99.9380390680143,"ศาลากลางหมู่บ้าน บ้านสบเอิม, หมู่ที่ 1, บ้านโป่ง, งาว, ลำปาง"
ลำปาง,งาว,บ้านโป่ง,2,2,ศาลากลางหมู่บ้าน SML,18.71078638553428,99.94066551285175,"ศาลากลางหมู่บ้าน SML, หมู่ที่ 2, บ้านโป่ง, งาว, ลำปาง"
ลำปาง,งาว,บ้านโป่ง,3,3,ศาลากลางหมู่บ้าน บ้านสบพลึง,18.712491887710694,99.94269151414636,"ศาลากลางหมู่บ้าน บ้านสบพลึง, หมู่ที่ 3, บ้านโป่ง, งาว, ลำปาง"
ลำปาง,งาว,บ้านโป่ง,4,4,ศาลาโป่งหนองบัว,18.71502198643794,99.94347383080215,"ศาลาโป่งหนองบัว, หมู่ที่ 4, บ้านโป่ง, งาว, ลำปาง"
ลำปาง,งาว,บ้านโป่ง,5,5,ศาลากลางหมู่บ้าน บ้านเป๊าะ,18.717573393246937,99.94276408280847,"ศาลากลางหมู่บ้าน บ้านเป๊าะ, หมู่ที่ 5, บ้านโป่ง, งาว, ลำปาง"
ลำปาง,งาว,บ้านโป่ง,6,6,ศาลากลางหมู่บ้าน บ้านเหล่า,18.71933605450321,99.9407876101385,"ศาลากลางหมู่บ้าน บ้านเหล่า, หมู่ที่ 6, บ้านโป่ง, งาว, ลำปาง"
