type,province,district,sub-district,unit_number,name,score
เขต,ลำปาง,งาว,นาแก,1,นางสาววิชุดา ว่องวัฒนวิโรจน์,2
เขต,ลำปาง,งาว,นาแก,1,นางสาวสุวิภา กุศลจูง,39
เขต,ลำปาง,งาว,นาแก,1,นายศรีพรหม หอมยก,7
เขต,ลำปาง,งาว,นาแก,1,นายสมบูรณ์ รูปสะอาด,0
เขต,ลำปาง,งาว,นาแก,1,นายดาซัย เอกปฐพี,143
เขต,ลำปาง,งาว,นาแก,1,นายธนาธร โล่ห์สุนทร,11
เขต,ลำปาง,งาว,นาแก,1,พันเอกสันทัด ภัทรกิตตินนท์,2
เขต,ลำปาง,งาว,นาแก,3,นางสาววิชุดา ว่องวัฒนวิโรจน์,0
เขต,ลำปาง,งาว,นาแก,3,นางสาวสุวิภา กุศลจูง,38
เขต,ลำปาง,งาว,นาแก,3,นายศรีพรหม หอมยก,1
เขต,ลำปาง,งาว,นาแก,3,นายสมบูรณ์ รูปสะอาด,1
เขต,ลำปาง,งาว,นาแก,3,นายดาซัย เอกปฐพี,159
เขต,ลำปาง,งาว,นาแก,3,นายธนาธร โล่ห์สุนทร,19
เขต,ลำปาง,งาว,นาแก,3,พันเอกสันทัด ภัทรกิตตินนท์,1
เขต,ลำปาง,นางา,นาแก,4,นางสาววิชุดา ว่องวัฒนวิโรจน์,4
เขต,ลำปาง,นางา,นาแก,4,นางสาวสุวิภา กุศลจูง,39
เขต,ลำปาง,นางา,นาแก,4,นายศรีพรหม หอมยก,5
เขต,ลำปาง,นางา,นาแก,4,นายสมบูรณ์ รูปสะอาด,5
เขต,ลำปาง,นางา,นาแก,4,นายดาซัย เอกปฐพี,199
เขต,ลำปาง,นางา,นาแก,4,นายธนาธร โล่ห์สุนทร,46
เขต,ลำปาง,นางา,นาแก,4,พันเอกสันทัด ภัทรกิตตินนท์,2
เขต,ลำปาง,งาว,นาแก,5,นางสาววิชุดา ว่องวัฒนวิโรจน์,14
เขต,ลำปาง,งาว,นาแก,5,นางสาวสุวิภา กุศลจูง,90
เขต,ลำปาง,งาว,นาแก,5,นายศรีพรหม หอมยก,6
เขต,ลำปาง,งาว,นาแก,5,นายสมบูรณ์ รูปสะอาด,6
เขต,ลำปาง,งาว,นาแก,5,นายดาซัย เอกปฐพี,222
เขต,ลำปาง,งาว,นาแก,5,นายธนาธร โล่ห์สุนทร,95
เขต,ลำปาง,งาว,นาแก,5,พันเอกสันทัด ภัทรกิตตินนท์,4
เขต,ลำปาง,งาว,นาแก,6,นางสาววิชุดา ว่องวัฒนวิโรจน์,4
เขต,ลำปาง,งาว,นาแก,6,นางสาวสุวิภา กุศลจูง,41
เขต,ลำปาง,งาว,นาแก,6,นายศรีพรหม หอมยก,3
เขต,ลำปาง,งาว,นาแก,6,นายสมบูรณ์ รูปสะอาด,2
เขต,ลำปาง,งาว,นาแก,6,นายดาซัย เอกปฐพี,105
เขต,ลำปาง,งาว,นาแก,6,นายธนาธร โล่ห์สุนทร,22
เขต,ลำปาง,งาว,นาแก,6,พันเอกสันทัด ภัทรกิตตินนท์,0
เขต,ลำปาง,งาว,บ้านร้อง,1,นางสาววิชุดา ว่องวัฒนวิโรจน์,7
เขต,ลำปาง,งาว,บ้านร้อง,1,นางสาวสุวิภา กุศลจูง,62
เขต,ลำปาง,งาว,บ้านร้อง,1,นายศรีพรหม หอมยก,4
เขต,ลำปาง,งาว,บ้านร้อง,1,นายสมบูรณ์ รูปสะอาด,2
เขต,ลำปาง,งาว,บ้านร้อง,1,นายดาซัย เอกปฐพี,144
เขต,ลำปาง,งาว,บ้านร้อง,1,นายธนาธร โล่ห์สุนทร,48
เขต,ลำปาง,งาว,บ้านร้อง,1,พันเอกสันทัด ภัทรกิตตินนท์,14
เขต,ลำปาง,งาว,บ้านร้อง,10,นางสาววิชุดา ว่องวัฒนวิโรจน์,34
เขต,ลำปาง,งาว,บ้านร้อง,10,นางสาวสุวิภา กุศลจูง,12
เขต,ลำปาง,งาว,บ้านร้อง,10,นายศรีพรหม หอมยก,0
เขต,ลำปาง,งาว,บ้านร้อง,10,นายสมบูรณ์ รูปสะอาด,2
เขต,ลำปาง,งาว,บ้านร้อง,10,นายดาซัย เอกปฐพี,92
เขต,ลำปาง,งาว,บ้านร้อง,10,นายธนาธร โล่ห์สุนทร,62
เขต,ลำปาง,งาว,บ้านร้อง,10,พันเอกสันทัด ภัทรกิตตินนท์,0
เขต,ลำปาง,งาว,บ้านร้อง,11,นางสาววิชุดา ว่องวัฒนวิโรจน์,0
เขต,ลำปาง,งาว,บ้านร้อง,11,นางสาวสุวิภา กุศลจูง,45
เขต,ลำปาง,งาว,บ้านร้อง,11,นายศรีพรหม หอมยก,0
เขต,ลำปาง,งาว,บ้านร้อง,11,นายสมบูรณ์ รูปสะอาด,0
