type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
บช,ลำปาง,นอกเขต,ชุดที่ 1,-1,700.0,663.0,8.0,29.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 1,-1,700.0,605.0,32.0,63.0,
บช,ลำปาง,นอกเขต,ชุดที่ 10,-1,700.0,668.0,8.0,24.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 10,-1,700.0,616.0,28.0,56.0,
บช,ลำปาง,นอกเขต,ชุดที่ 11,-1,700.0,664.0,6.0,30.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 11,-1,700.0,607.0,28.0,65.0,
บช,ลำปาง,นอกเขต,ชุดที่ 12,-1,700.0,666.0,7.0,27.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 12,-1,700.0,614.0,33.0,53.0,
บช,ลำปาง,นอกเขต,ชุดที่ 13,-1,694.0,662.0,4.0,28.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 13,-1,694.0,599.0,37.0,58.0,
บช,ลำปาง,นอกเขต,ชุดที่ 2,-1,700.0,655.0,8.0,37.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 2,-1,700.0,607.0,30.0,63.0,
บช,ลำปาง,นอกเขต,ชุดที่ 3,-1,700.0,670.0,4.0,26.0,
บช,ลำปาง,นอกเขต,ชุดที่ 4,-1,700.0,672.0,4.0,24.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 4,-1,700.0,625.0,25.0,50.0,
บช,ลำปาง,นอกเขต,ชุดที่ 5,-1,700.0,665.0,8.0,27.0,
บช,ลำปาง,นอกเขต,ชุดที่ 6,-1,700.0,672.0,4.0,24.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 6,-1,700.0,621.0,24.0,55.0,
บช,ลำปาง,นอกเขต,ชุดที่ 7,-1,700.0,664.0,6.0,30.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 7,-1,700.0,612.0,19.0,69.0,
บช,ลำปาง,นอกเขต,ชุดที่ 8,-1,700.0,677.0,4.0,19.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 8,-1,700.0,626.0,24.0,50.0,
บช,ลำปาง,นอกเขต,ชุดที่ 9,-1,700.0,666.0,6.0,28.0,
เขต,ลำปาง,นอกเขต,ชุดที่ 9,-1,700.0,607.0,27.0,66.0,
เขต,ลำปาง,งาว,นาแก,1,300.0,204.0,8.0,2.0,86.0
เขต,ลำปาง,งาว,นาแก,2,700.0,404.0,27.0,17.0,252.0
เขต,ลำปาง,งาว,นาแก,3,360.0,219.0,14.0,11.0,116.0
