district,sub_district,age,male,female,total
งาว,นาแก,0,8,8,16
งาว,นาแก,1,10,3,13
งาว,นาแก,2,10,14,24
งาว,นาแก,3,8,13,21
งาว,นาแก,4,10,8,18
งาว,นาแก,5,7,4,11
งาว,นาแก,6,13,11,24
งาว,นาแก,7,8,12,20
งาว,นาแก,8,16,16,32
งาว,นาแก,9,9,23,32
งาว,นาแก,10,15,11,26
งาว,นาแก,11,9,17,26
งาว,นาแก,12,17,17,34
งาว,นาแก,13,21,22,43
งาว,นาแก,14,10,20,30
งาว,นาแก,15,25,20,45
งาว,นาแก,16,16,16,32
งาว,นาแก,17,18,13,31
งาว,นาแก,18,23,16,39
งาว,นาแก,19,25,10,35
งาว,นาแก,20,23,18,41
งาว,นาแก,21,14,19,33
งาว,นาแก,22,14,17,31
งาว,นาแก,23,15,20,35
งาว,นาแก,24,17,20,37
งาว,นาแก,25,19,14,33
งาว,นาแก,26,26,23,49
งาว,นาแก,27,14,23,37
งาว,นาแก,28,27,28,55
งาว,นาแก,29,27,21,48
งาว,นาแก,30,33,29,62
งาว,นาแก,31,21,20,41
งาว,นาแก,32,24,20,44
งาว,นาแก,33,21,22,43
งาว,นาแก,34,26,18,44
งาว,นาแก,35,24,18,42
งาว,นาแก,36,14,24,38
งาว,นาแก,37,21,18,39
งาว,นาแก,38,27,27,54
งาว,นาแก,39,21,34,55
งาว,นาแก,40,26,29,55
งาว,นาแก,41,24,38,62
งาว,นาแก,42,32,43,75
งาว,นาแก,43,26,18,44
งาว,นาแก,44,33,29,62
งาว,นาแก,45,28,25,53
งาว,นาแก,46,37,25,62
งาว,นาแก,47,29,25,54
งาว,นาแก,48,33,21,54
งาว,นาแก,49,31,26,57
งาว,นาแก,50,24,25,49
งาว,นาแก,51,23,26,49
งาว,นาแก,52,14,22,36
งาว,นาแก,53,26,31,57
งาว,นาแก,54,14,16,30
งาว,นาแก,55,22,20,42
งาว,นาแก,56,19,33,52
งาว,นาแก,57,24,20,44
งาว,นาแก,58,25,28,53
งาว,นาแก,59,31,35,66
งาว,นาแก,60,22,40,62
งาว,นาแก,61,23,30,53
งาว,นาแก,62,30,27,57
งาว,นาแก,63,29,34,63
งาว,นาแก,64,25,15,40
งาว,นาแก,65,31,22,53
งาว,นาแก,66,21,29,50
งาว,นาแก,67,26,28,54
งาว,นาแก,68,18,31,49
งาว,นาแก,69,22,19,41
งาว,นาแก,70,26,16,42
งาว,นาแก,71,15,17,32
งาว,นาแก,72,18,26,44
งาว,นาแก,73,14,14,28
งาว,นาแก,74,11,12,23
งาว,นาแก,75,13,14,27
งาว,นาแก,76,12,15,27
งาว,นาแก,77,6,12,18
งาว,นาแก,78,10,7,17
