district,sub-district,pop_total,households,villages,has_electricity,is_mountain,dist_center_avg,lat,lon,pop_per_hh,winner_party,winner_score,total_score,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,turnout_pct,invalid_pct,winner_pct,pop_group,rural_group
งาว,นาแก,2448.0,981.0,6,0.0,0.3333333333333333,11.25,18.802248358131102,99.91934850811958,2.4954128440366974,ประชาชน,448,1721,2740.0,1779.0,85.0,44.0,98.3941605839416,3.102189781021898,26.031377106333526,น้อย (Q1),กลาง
งาว,บ้านร้อง,6970.0,2175.0,13,0.0,0.3076923076923077,40.61538461538461,18.93533837920632,99.87785500975755,3.2045977011494253,เพื่อไทย,649,2760,4840.0,2914.0,213.0,57.0,98.82231404958678,4.400826446280992,23.51449275362319,มาก (Q4),ชนบท/ห่างไกล
งาว,บ้านหวด,3881.0,1425.0,6,0.0,0.3333333333333333,19.0,18.627413780738404,99.90684516727924,2.7235087719298248,ประชาชน,446,1542,3660.0,2034.0,178.0,56.0,98.46994535519126,4.863387978142077,28.92347600518807,ปานกลาง-ต่ำ (Q2),ชนบท/ห่างไกล
งาว,บ้านอ้อน,3303.0,1263.0,8,0.0,0.25,13.95,18.140670026509685,99.89114429316378,2.6152019002375297,เพื่อไทย,587,2233,3440.0,2113.0,146.0,46.0,98.66279069767442,4.2441860465116275,26.287505597850426,น้อย (Q1),กลาง
งาว,บ้านแหง,5881.0,1968.0,8,0.0,0.0,8.1125,18.759912993871193,100.0166212208569,2.9883130081300813,ประชาชน,733,3195,4780.0,3102.0,275.0,76.0,98.41004184100419,5.7531380753138075,22.94209702660407,ปานกลาง-สูง (Q3),ใกล้เมือง
งาว,บ้านโป่ง,6632.0,2354.0,12,0.0,0.08333333333333333,9.775,18.719016003320444,99.9463576823473,2.8173322005097705,เพื่อไทย,469,1908,5080.0,2962.0,236.0,74.0,98.54330708661418,4.645669291338582,24.58071278825996,มาก (Q4),กลาง
งาว,ปงเตา,6921.0,2240.0,13,0.0,0.0,12.084615384615384,18.836442781849634,99.92642341898038,3.0897321428571427,เพื่อไทย,701,2485,5240.0,3125.0,160.0,61.0,98.83587786259542,3.0534351145038165,28.209255533199197,มาก (Q4),กลาง
งาว,หลวงเหนือ,4199.0,2311.0,6,0.0,0.16666666666666666,4.6000000000000005,18.756404014366,99.9868804961443,1.816962353959325,ประชาชน,453,1552,3220.0,1947.0,112.0,94.0,97.0807453416149,3.4782608695652173,29.188144329896907,ปานกลาง-ต่ำ (Q2),ใกล้เมือง
งาว,หลวงใต้,6143.0,1674.0,8,0.0,0.0,3.25,18.744253349307073,99.97740514576435,3.6696535244922344,เพื่อไทย,695,2297,4240.0,2632.0,164.0,59.0,98.60849056603773,3.8679245283018866,30.25685676969961,ปานกลาง-สูง (Q3),ใกล้เมือง
งาว,แม่ตีบ,4285.0,1394.0,5,0.0,0.0,25.2,16.618442629522267,100.22069370746613,3.0738880918220945,ประชาชน,592,1989,3380.0,2223.0,127.0,58.0,98.28402366863905,3.7573964497041423,29.763700351935647,ปานกลาง-ต่ำ (Q2),ชนบท/ห่างไกล
วังเหนือ,ทุ่งฮั้ว,5559.0,1684.0,12,0.0,0.0,10.158333333333333,19.225744609139955,99.63994190096855,3.3010688836104514,ประชาชน,635,2542,3800.0,2577.0,214.0,111.0,97.07894736842105,5.631578947368421,24.980330448465775,ปานกลาง-สูง (Q3),กลาง
วังเหนือ,ร่องเคาะ,10982.0,3158.0,17,0.0,0.0,17.941176470588236,18.998342474956118,99.61201581884833,3.4775174160861306,เพื่อไทย,1086,3997,7820.0,4924.0,339.0,157.0,97.9923273657289,4.335038363171355,27.1703777833375,มาก (Q4),กลาง
วังเหนือ,วังซ้าย,4754.0,1815.0,10,0.0,0.0,4.15,19.156676805492037,99.63992893695831,2.619283746556474,ประชาชน,684,2649,3980.0,2680.0,234.0,76.0,98.09045226130654,5.8793969849246235,25.821064552661383,ปานกลาง-ต่ำ (Q2),ใกล้เมือง
วังเหนือ,วังทรายคำ,4035.0,1312.0,9,0.0,0.0,9.055555555555555,19.07604187770383,99.6339425444603,3.075457317073171,ประชาชน,593,1898,3220.0,2129.0,182.0,101.0,96.86335403726709,5.6521739130434785,31.24341412012645,ปานกลาง-ต่ำ (Q2),ใกล้เมือง
วังเหนือ,วังทอง,5234.0,1926.0,9,0.0,0.2222222222222222,17.255555555555556,19.071543813982544,99.70079466700554,2.7175493250259604,ประชาชน,597,2390,4040.0,2828.0,160.0,98.0,97.57425742574257,3.9603960396039604,24.97907949790795,ปานกลาง-สูง (Q3),กลาง
วังเหนือ,วังเหนือ,6685.0,2671.0,9,0.0,0.1111111111111111,2.5928571428571425,18.55254799077531,99.71967056393623,2.502807937102209,ประชาชน,647,2288,3180.0,2067.0,184.0,134.0,95.78616352201259,5.786163522012579,28.277972027972027,มาก (Q4),ใกล้เมือง
วังเหนือ,วังแก้ว,3174.0,1155.0,7,0.0,0.0,19.0,19.296146716926785,99.62630465626717,2.748051948051948,ประชาชน,451,1604,2640.0,1684.0,135.0,57.0,97.8409090909091,5.113636363636364,28.117206982543642,น้อย (Q1),ชนบท/ห่างไกล
วังเหนือ,วังใต้,3003.0,980.0,7,0.0,0.0,8.314285714285715,19.08718077407131,99.60775746885709,3.0642857142857145,ประชาชน,527,2335,2620.0,1706.0,141.0,49.0,98.12977099236642,5.3816793893129775,22.569593147751608,น้อย (Q1),ใกล้เมือง
เมืองปาน,ทุ่งกว๋าว,7483.0,2904.0,14,0.0,0.0,29.0,18.562399022742262,99.46929197226252,2.5767906336088156,ประชาชน,1228,3823,6880.0,4529.0,358.0,120.0,98.25581395348837,5.203488372093023,32.12137065132095,มาก (Q4),ชนบท/ห่างไกล
เมืองปาน,บ้านขอ,6332.0,2292.0,13,0.0,0.0,14.615384615384615,18.286489157179968,99.56361513871413,2.762652705061082,เพื่อไทย,1105,4582,6080.0,3816.0,349.0,140.0,97.69736842105263,5.740131578947368,24.11610650371017,มาก (Q4),กลาง
เมืองปาน,หัวเมือง,2809.0,1353.0,8,0.0,0.5,30.8125,16.996875998359506,99.89901855122298,2.0761271249076128,ประชาชน,586,1906,3300.0,2008.0,136.0,44.0,98.66666666666667,4.121212121212121,30.745015739769148,น้อย (Q1),ชนบท/ห่างไกล
เมืองปาน,เมืองปาน,3875.0,1454.0,9,0.0,0.0,3.7777777777777777,18.772358985550074,99.4943605363369,2.6650618982118295,ประชาชน,688,2833,4160.0,2620.0,183.0,92.0,97.78846153846153,4.399038461538462,24.28521002470879,น้อย (Q1),ใกล้เมือง
เมืองปาน,แจ้ซ้อน,5740.0,1941.0,12,0.16666666666666666,0.3333333333333333,14.505,18.833676595501437,99.48595505207777,2.957238536836682,เพื่อไทย,1189,3874,6020.0,3942.0,253.0,129.0,97.85714285714285,4.20265780730897,30.69179143004646,ปานกลาง-สูง (Q3),กลาง
