,สมัครเป็นจิตอาสาแล้ว,จะสมัครเป็นจิตอาส,ยังไม่พร้อมเป็นจิตอาสา,ยังไม่ได้เลือกสถานะจิตอาสา,จำนวนจิตอาสารวม
บ้านแลง,179.0,0.0,1.0,7.0,187.0
บ้านเสด็จ,275.0,10.0,0.0,12.0,299.0
นาแก,72.0,3.0,0.0,30.0,105.0
บ้านโป่ง,170.0,1.0,0.0,10.0,181.0
บ้านร้อง,183.0,14.0,2.0,1.0,200.0
บ้านหวด,86.0,23.0,0.0,2.0,111.0
บ้านแหง,143.0,6.0,1.0,5.0,155.0
บ้านอ้อน,96.0,2.0,0.0,5.0,103.0
ปงเตา,140.0,12.0,1.0,22.0,175.0
แม่ตีบ,91.0,1.0,0.0,5.0,98.0
หลวงใต้,102.0,4.0,0.0,4.0,110.0
หลวงเหนือ,73.0,4.0,0.0,6.0,84.0
แจ้ห่ม,277.0,0.0,0.0,2.0,279.0
ทุ่งผึ้ง,63.0,6.0,0.0,56.0,125.0
บ้านสา,119.0,9.0,0.0,6.0,134.0
ปงดอน,71.0,54.0,0.0,37.0,162.0
เมืองมาย,46.0,39.0,0.0,1.0,87.0
แม่สุก,114.0,12.0,2.0,65.0,193.0
วิเชตนคร,228.0,2.0,3.0,4.0,237.0
ทุ่งฮั้ว,34.0,5.0,0.0,140.0,179.0
ร่องเคาะ,303.0,20.0,1.0,10.0,335.0
วังแก้ว,31.0,66.0,0.0,3.0,100.0
วังซ้าย,95.0,7.0,0.0,38.0,146.0
วังใต้,23.0,19.0,0.0,98.0,140.0
วังทรายคำ,108.0,18.0,2.0,8.0,136.0
วังทอง,151.0,10.0,0.0,7.0,170.0
วังเหนือ,162.0,22.0,0.0,3.0,187.0
แจ้ซ้อน,160.0,9.0,3.0,22.0,196.0
ทุ่งกว๋าว,214.0,9.0,3.0,34.0,261.0
บ้านขอ,184.0,5.0,0.0,26.0,216.0
เมืองปาน,116.0,10.0,1.0,7.0,134.0
หัวเมือง,20.0,36.0,0.0,43.0,99.0
บ้านใหม่,-1.0,-1.0,-1.0,-1.0,
