,type,province,district,sub-district,unit_number,จำนวนผู้มีสิทธิมาเลือกตั้ง,จำนวนผู้มาแสดงตน
0,บช,ลำปาง,งาว,นาแก,1,324,214
1,บช,ลำปาง,งาว,นาแก,2,735,448
2,บช,ลำปาง,งาว,นาแก,3,371,244
3,บช,ลำปาง,งาว,นาแก,4,468,329
4,บช,ลำปาง,งาว,นาแก,5,673,481
5,บช,ลำปาง,งาว,นาแก,6,297,192
6,บช,ลำปาง,งาว,บ้านร้อง,1,442,316
7,บช,ลำปาง,งาว,บ้านร้อง,2,555,345
8,บช,ลำปาง,งาว,บ้านร้อง,3,560,334
9,บช,ลำปาง,งาว,บ้านร้อง,4,400,254
10,บช,ลำปาง,งาว,บ้านร้อง,5,542,379
11,บช,ลำปาง,งาว,บ้านร้อง,6,239,141
12,บช,ลำปาง,งาว,บ้านร้อง,7,329,207
13,บช,ลำปาง,งาว,บ้านร้อง,8,183,144
14,บช,ลำปาง,งาว,บ้านร้อง,9,414,223
15,บช,ลำปาง,งาว,บ้านร้อง,10,469,261
16,บช,ลำปาง,งาว,บ้านร้อง,11,305,225
17,บช,ลำปาง,งาว,บ้านร้อง,12,382,208
18,บช,ลำปาง,งาว,บ้านร้อง,13,242,147
19,บช,ลำปาง,งาว,บ้านหวด,1,369,234
20,บช,ลำปาง,งาว,บ้านหวด,2,567,334
21,บช,ลำปาง,งาว,บ้านหวด,3,634,361
22,บช,ลำปาง,งาว,บ้านหวด,4,592,333
23,บช,ลำปาง,งาว,บ้านหวด,5,793,456
24,บช,ลำปาง,งาว,บ้านหวด,6,470,324
25,บช,ลำปาง,งาว,บ้านหวด,7,369,226
26,บช,ลำปาง,งาว,บ้านอ้อน,1,469,301
27,บช,ลำปาง,งาว,บ้านอ้อน,2,639,423
28,บช,ลำปาง,งาว,บ้านอ้อน,3,590,391
29,บช,ลำปาง,งาว,บ้านอ้อน,4,523,347
30,บช,ลำปาง,งาว,บ้านอ้อน,5,431,196
31,บช,ลำปาง,งาว,บ้านอ้อน,6,434,295
32,บช,ลำปาง,งาว,บ้านอ้อน,7,374,240
33,บช,ลำปาง,งาว,บ้านอ้อน,8,153,112
34,บช,ลำปาง,งาว,บ้านแหง,1,692,440
35,บช,ลำปาง,งาว,บ้านแหง,2,492,358
36,บช,ลำปาง,งาว,บ้านแหง,3,989,524
37,บช,ลำปาง,งาว,บ้านแหง,4,532,406
38,บช,ลำปาง,งาว,บ้านแหง,5,500,369
39,บช,ลำปาง,งาว,บ้านแหง,6,524,355
40,บช,ลำปาง,งาว,บ้านแหง,7,275,198
41,บช,ลำปาง,งาว,บ้านแหง,8,579,357
42,บช,ลำปาง,งาว,บ้านแหง,9,672,446
43,บช,ลำปาง,งาว,บ้านโป่ง,1,490,287
44,บช,ลำปาง,งาว,บ้านโป่ง,2,460,282
45,บช,ลำปาง,งาว,บ้านโป่ง,3,362,229
46,บช,ลำปาง,งาว,บ้านโป่ง,4,437,245
47,บช,ลำปาง,งาว,บ้านโป่ง,5,557,355
48,บช,ลำปาง,งาว,บ้านโป่ง,6,525,283
49,บช,ลำปาง,งาว,บ้านโป่ง,7,377,227
50,บช,ลำปาง,งาว,บ้านโป่ง,8,1114,260
51,บช,ลำปาง,งาว,บ้านโป่ง,9,448,292
52,บช,ลำปาง,งาว,บ้านโป่ง,10,494,302
53,บช,ลำปาง,งาว,บ้านโป่ง,11,396,218
54,บช,ลำปาง,งาว,บ้านโป่ง,12,497,292
55,บช,ลำปาง,งาว,ปงเตา,1,529,302
56,บช,ลำปาง,งาว,ปงเตา,2,625,347
57,บช,ลำปาง,งาว,ปงเตา,3,207,181
58,บช,ลำปาง,งาว,ปงเตา,4,493,310
59,บช,ลำปาง,งาว,ปงเตา,5,902,429
60,บช,ลำปาง,งาว,ปงเตา,6,914,225
61,บช,ลำปาง,งาว,ปงเตา,7,406,197
62,บช,ลำปาง,งาว,ปงเตา,8,388,256
63,บช,ลำปาง,งาว,ปงเตา,9,468,286
64,บช,ลำปาง,งาว,ปงเตา,10,207,114
65,บช,ลำปาง,งาว,ปงเตา,11,299,131
66,บช,ลำปาง,งาว,ปงเตา,12,701,247
67,บช,ลำปาง,งาว,ปงเตา,13,483,321
68,บช,ลำปาง,งาว,หลวงเหนือ,1,408,266
69,บช,ลำปาง,งาว,หลวงเหนือ,2,476,308
70,บช,ลำปาง,งาว,หลวงเหนือ,3,532,357
71,บช,ลำปาง,งาว,หลวงเหนือ,4,548,316
72,บช,ลำปาง,งาว,หลวงเหนือ,5,531,361
73,บช,ลำปาง,งาว,หลวงเหนือ,6,598,377
74,บช,ลำปาง,งาว,หลวงเหนือ,7,257,168
75,บช,ลำปาง,งาว,หลวงใต้,1,637,406
76,บช,ลำปาง,งาว,หลวงใต้,2,790,462
77,บช,ลำปาง,งาว,หลวงใต้,3,507,351
78,บช,ลำปาง,งาว,หลวงใต้,4,345,223
79,บช,ลำปาง,งาว,หลวงใต้,5,622,388
80,บช,ลำปาง,งาว,หลวงใต้,6,825,481
81,บช,ลำปาง,งาว,หลวงใต้,7,366,239
82,บช,ลำปาง,งาว,หลวงใต้,8,425,305
83,บช,ลำปาง,งาว,แม่ตีบ,1,474,290
84,บช,ลำปาง,งาว,แม่ตีบ,2,512,342
85,บช,ลำปาง,งาว,แม่ตีบ,3,446,307
86,บช,ลำปาง,งาว,แม่ตีบ,4,531,364
87,บช,ลำปาง,งาว,แม่ตีบ,5,524,344
88,บช,ลำปาง,งาว,แม่ตีบ,6,677,535
89,บช,ลำปาง,งาว,แม่ตีบ,7,330,226
90,บช,ลำปาง,นอกเขต,ชุดที่ 1,-1,-1,700
91,บช,ลำปาง,นอกเขต,ชุดที่ 10,-1,-1,700
92,บช,ลำปาง,นอกเขต,ชุดที่ 11,-1,-1,700
