type,province,district,sub-district,unit_number,จำนวนผู้มีสิทธิมาเลือกตั้ง,จำนวนผู้มาแสดงตน
บช,ลำปาง,นอกเขต,ชุดที่ 1,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 1,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 10,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 10,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 11,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 11,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 12,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 12,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 13,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 13,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 2,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 2,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 3,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 3,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 4,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 4,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 5,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 5,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 6,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 6,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 7,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 7,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 8,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 8,-1,-1,-1
บช,ลำปาง,นอกเขต,ชุดที่ 9,-1,-1,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 9,-1,-1,-1
เขต,ลำปาง,อำเภองาว,นาแก,1,324,-1
เขต,ลำปาง,อำเภองาว,นาแก,2,735,404
เขต,ลำปาง,อำเภองาว,นาแก,3,37,244
เขต,ลำปาง,อำเภองาว,นาแก,4,463,327
เขต,ลำปาง,อำเภองาว,นาแก,5,673,481
เขต,ลำปาง,อำเภองาว,นาแก,6,277,192
เขต,ลำปาง,อำเภองาว,บ้านร้อง,1,440,316
เขต,ลำปาง,อำเภองาว,บ้านร้อง,10,269,261
เขต,ลำปาง,อำเภองาว,บ้านร้อง,11,305,225
เขต,ลำปาง,อำเภองาว,บ้านร้อง,12,3,20
เขต,ลำปาง,อำเภองาว,บ้านร้อง,13,212,107
เขต,ลำปาง,อำเภองาว,บ้านร้อง,2,555,345
เขต,ลำปาง,อำเภองาว,บ้านร้อง,3,560,394
เขต,ลำปาง,อำเภองาว,บ้านร้อง,4,40,254
เขต,ลำปาง,อำเภองาว,บ้านร้อง,5,542,379
เขต,ลำปาง,อำเภองาว,บ้านร้อง,6,239,141
เขต,ลำปาง,อำเภองาว,บ้านร้อง,7,329,207
เขต,ลำปาง,อำเภองาว,บ้านร้อง,8,10,144
เขต,ลำปาง,อำเภองาว,บ้านร้อง,9,414,223
เขต,ลำปาง,อำเภองาว,บ้านหวด,1,269,294
เขต,ลำปาง,อำเภองาว,บ้านหวด,2,567,334
เขต,ลำปาง,อำเภองาว,บ้านหวด,3,620,361
เขต,ลำปาง,อำเภองาว,บ้านหวด,4,592,333
เขต,ลำปาง,อำเภองาว,บ้านหวด,5,793,456
เขต,ลำปาง,อำเภองาว,บ้านหวด,6,470,320
เขต,ลำปาง,อำเภองาว,บ้านหวด,7,369,226
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,1,40,301
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,2,639,-1
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,3,570,391
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,4,523,347
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,5,431,196
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,6,434,295
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,7,374,240
เขต,ลำปาง,อำเภองาว,บ้านอ้อน,8,153,112
เขต,ลำปาง,อำเภองาว,บ้านแหง,1,60,40
เขต,ลำปาง,อำเภองาว,บ้านแหง,2,492,353
เขต,ลำปาง,อำเภองาว,บ้านแหง,3,727,524
เขต,ลำปาง,อำเภองาว,บ้านแหง,4,-1,406
เขต,ลำปาง,อำเภองาว,บ้านแหง,5,313,389
เขต,ลำปาง,อำเภองาว,บ้านแหง,6,524,353
เขต,ลำปาง,อำเภองาว,บ้านแหง,7,275,198
เขต,ลำปาง,อำเภองาว,บ้านแหง,8,579,357
เขต,ลำปาง,อำเภองาว,บ้านแหง,9,672,672
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,1,490,287
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,10,494,302
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,12,457,-1
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,2,460,232
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,3,76,227
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,4,437,245
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,5,557,-1
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,6,23,283
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,7,377,207
เขต,ลำปาง,อำเภองาว,บ้านโป่ง,8,40,40
เขต,ลำปาง,อำเภองาว,ปงเตา,1,527,302
เขต,ลำปาง,อำเภองาว,ปงเตา,10,204,114
เขต,ลำปาง,อำเภองาว,ปงเตา,11,299,131
เขต,ลำปาง,อำเภองาว,ปงเตา,12,70,247
เขต,ลำปาง,อำเภองาว,ปงเตา,13,483,321
เขต,ลำปาง,อำเภองาว,ปงเตา,2,625,347
เขต,ลำปาง,อำเภองาว,ปงเตา,3,207,189
เขต,ลำปาง,อำเภองาว,ปงเตา,4,473,910
เขต,ลำปาง,อำเภองาว,ปงเตา,5,902,429
เขต,ลำปาง,อำเภองาว,ปงเตา,6,914,225
เขต,ลำปาง,อำเภองาว,ปงเตา,7,406,197
เขต,ลำปาง,อำเภองาว,ปงเตา,8,388,256
เขต,ลำปาง,อำเภองาว,ปงเตา,9,46,281
เขต,ลำปาง,อำเภองาว,หลวงเหนือ,1,408,266
เขต,ลำปาง,อำเภองาว,หลวงเหนือ,2,476,304
เขต,ลำปาง,อำเภองาว,หลวงเหนือ,3,532,397
เขต,ลำปาง,อำเภองาว,หลวงเหนือ,4,548,316
เขต,ลำปาง,อำเภองาว,หลวงเหนือ,5,361,361
เขต,ลำปาง,อำเภองาว,หลวงเหนือ,6,377,377
เขต,ลำปาง,อำเภองาว,หลวงเหนือ,7,257,118
เขต,ลำปาง,อำเภองาว,หลวงใต้,1,637,406
เขต,ลำปาง,อำเภองาว,หลวงใต้,2,740,462
เขต,ลำปาง,อำเภองาว,หลวงใต้,3,507,351
เขต,ลำปาง,อำเภองาว,หลวงใต้,4,-1,-1
เขต,ลำปาง,อำเภองาว,หลวงใต้,5,622,388
เขต,ลำปาง,อำเภองาว,หลวงใต้,6,785,481
เขต,ลำปาง,อำเภองาว,หลวงใต้,7,366,239
เขต,ลำปาง,อำเภองาว,หลวงใต้,8,425,304
เขต,ลำปาง,อำเภองาว,แม่ตีบ,1,474,290
เขต,ลำปาง,อำเภองาว,แม่ตีบ,2,57,342
เขต,ลำปาง,อำเภองาว,แม่ตีบ,3,40,307
เขต,ลำปาง,อำเภองาว,แม่ตีบ,4,531,364
เขต,ลำปาง,อำเภองาว,แม่ตีบ,5,524,344
เขต,ลำปาง,อำเภองาว,แม่ตีบ,6,677,535
เขต,ลำปาง,อำเภองาว,แม่ตีบ,7,330,226
บช,ลำปาง,อำเภองาว,นาแก,1,324,214
บช,ลำปาง,อำเภองาว,นาแก,2,735,448
บช,ลำปาง,อำเภองาว,นาแก,3,37,249
บช,ลำปาง,อำเภองาว,นาแก,4,468,329
